CELL_ID,SPECIES,MONTH,COUNT
20,bubalus_bubalis,dec,0
21,bubalus_bubalis,dec,3
22,bubalus_bubalis,dec,0
23,bubalus_bubalis,dec,1
24,bubalus_bubalis,dec,0
25,bubalus_bubalis,dec,0
26,bubalus_bubalis,dec,0
44,bubalus_bubalis,dec,0
45,bubalus_bubalis,dec,0
46,bubalus_bubalis,dec,0
47,bubalus_bubalis,dec,0
48,bubalus_bubalis,dec,1
49,bubalus_bubalis,dec,1
50,bubalus_bubalis,dec,4
51,bubalus_bubalis,dec,1
52,bubalus_bubalis,dec,0
53,bubalus_bubalis,dec,0
69,bubalus_bubalis,dec,0
70,bubalus_bubalis,dec,0
71,bubalus_bubalis,dec,0
72,bubalus_bubalis,dec,0
73,bubalus_bubalis,dec,0
74,bubalus_bubalis,dec,0
75,bubalus_bubalis,dec,5
76,bubalus_bubalis,dec,7
77,bubalus_bubalis,dec,7
78,bubalus_bubalis,dec,6
79,bubalus_bubalis,dec,2
80,bubalus_bubalis,dec,0
90,bubalus_bubalis,dec,0
91,bubalus_bubalis,dec,0
92,bubalus_bubalis,dec,0
93,bubalus_bubalis,dec,0
96,bubalus_bubalis,dec,0
97,bubalus_bubalis,dec,0
98,bubalus_bubalis,dec,0
99,bubalus_bubalis,dec,0
100,bubalus_bubalis,dec,3
101,bubalus_bubalis,dec,1
102,bubalus_bubalis,dec,3
103,bubalus_bubalis,dec,1
104,bubalus_bubalis,dec,2
105,bubalus_bubalis,dec,1
106,bubalus_bubalis,dec,24
107,bubalus_bubalis,dec,0
116,bubalus_bubalis,dec,0
117,bubalus_bubalis,dec,0
118,bubalus_bubalis,dec,0
119,bubalus_bubalis,dec,0
121,bubalus_bubalis,dec,0
122,bubalus_bubalis,dec,0
123,bubalus_bubalis,dec,0
124,bubalus_bubalis,dec,0
125,bubalus_bubalis,dec,0
126,bubalus_bubalis,dec,2
127,bubalus_bubalis,dec,4
128,bubalus_bubalis,dec,2
129,bubalus_bubalis,dec,3
130,bubalus_bubalis,dec,0
131,bubalus_bubalis,dec,0
132,bubalus_bubalis,dec,0
133,bubalus_bubalis,dec,26
134,bubalus_bubalis,dec,0
137,bubalus_bubalis,dec,0
141,bubalus_bubalis,dec,0
142,bubalus_bubalis,dec,0
143,bubalus_bubalis,dec,0
144,bubalus_bubalis,dec,0
145,bubalus_bubalis,dec,0
146,bubalus_bubalis,dec,0
147,bubalus_bubalis,dec,0
148,bubalus_bubalis,dec,0
149,bubalus_bubalis,dec,0
150,bubalus_bubalis,dec,0
151,bubalus_bubalis,dec,2
152,bubalus_bubalis,dec,5
153,bubalus_bubalis,dec,14
154,bubalus_bubalis,dec,1
155,bubalus_bubalis,dec,2
156,bubalus_bubalis,dec,0
157,bubalus_bubalis,dec,0
158,bubalus_bubalis,dec,0
159,bubalus_bubalis,dec,0
160,bubalus_bubalis,dec,0
161,bubalus_bubalis,dec,0
164,bubalus_bubalis,dec,0
165,bubalus_bubalis,dec,0
166,bubalus_bubalis,dec,0
167,bubalus_bubalis,dec,0
168,bubalus_bubalis,dec,0
169,bubalus_bubalis,dec,0
170,bubalus_bubalis,dec,0
171,bubalus_bubalis,dec,0
172,bubalus_bubalis,dec,0
173,bubalus_bubalis,dec,0
174,bubalus_bubalis,dec,0
175,bubalus_bubalis,dec,2
176,bubalus_bubalis,dec,45
177,bubalus_bubalis,dec,4
178,bubalus_bubalis,dec,6
179,bubalus_bubalis,dec,0
191,bubalus_bubalis,dec,0
192,bubalus_bubalis,dec,0
193,bubalus_bubalis,dec,0
194,bubalus_bubalis,dec,0
195,bubalus_bubalis,dec,0
196,bubalus_bubalis,dec,0
197,bubalus_bubalis,dec,0
198,bubalus_bubalis,dec,0
199,bubalus_bubalis,dec,0
200,bubalus_bubalis,dec,0
201,bubalus_bubalis,dec,4
202,bubalus_bubalis,dec,0
