CELL_ID,SPECIES,MONTH,COUNT
20,bubalus_bubalis,oct,0
21,bubalus_bubalis,oct,4
22,bubalus_bubalis,oct,0
23,bubalus_bubalis,oct,0
24,bubalus_bubalis,oct,0
25,bubalus_bubalis,oct,0
26,bubalus_bubalis,oct,0
44,bubalus_bubalis,oct,0
45,bubalus_bubalis,oct,0
46,bubalus_bubalis,oct,0
47,bubalus_bubalis,oct,0
48,bubalus_bubalis,oct,0
49,bubalus_bubalis,oct,0
50,bubalus_bubalis,oct,0
51,bubalus_bubalis,oct,0
52,bubalus_bubalis,oct,0
53,bubalus_bubalis,oct,0
69,bubalus_bubalis,oct,0
70,bubalus_bubalis,oct,0
71,bubalus_bubalis,oct,0
72,bubalus_bubalis,oct,0
73,bubalus_bubalis,oct,3
74,bubalus_bubalis,oct,2
75,bubalus_bubalis,oct,10
76,bubalus_bubalis,oct,0
77,bubalus_bubalis,oct,0
78,bubalus_bubalis,oct,0
79,bubalus_bubalis,oct,0
80,bubalus_bubalis,oct,0
90,bubalus_bubalis,oct,0
91,bubalus_bubalis,oct,0
92,bubalus_bubalis,oct,0
93,bubalus_bubalis,oct,0
96,bubalus_bubalis,oct,0
97,bubalus_bubalis,oct,0
98,bubalus_bubalis,oct,5
99,bubalus_bubalis,oct,8
100,bubalus_bubalis,oct,5
101,bubalus_bubalis,oct,3
102,bubalus_bubalis,oct,2
103,bubalus_bubalis,oct,0
104,bubalus_bubalis,oct,0
105,bubalus_bubalis,oct,0
106,bubalus_bubalis,oct,0
107,bubalus_bubalis,oct,0
116,bubalus_bubalis,oct,0
117,bubalus_bubalis,oct,0
118,bubalus_bubalis,oct,0
119,bubalus_bubalis,oct,0
121,bubalus_bubalis,oct,0
122,bubalus_bubalis,oct,0
123,bubalus_bubalis,oct,15
124,bubalus_bubalis,oct,6
125,bubalus_bubalis,oct,8
126,bubalus_bubalis,oct,5
127,bubalus_bubalis,oct,10
128,bubalus_bubalis,oct,1
129,bubalus_bubalis,oct,0
130,bubalus_bubalis,oct,0
131,bubalus_bubalis,oct,0
132,bubalus_bubalis,oct,0
133,bubalus_bubalis,oct,0
134,bubalus_bubalis,oct,0
137,bubalus_bubalis,oct,0
141,bubalus_bubalis,oct,0
142,bubalus_bubalis,oct,0
143,bubalus_bubalis,oct,0
144,bubalus_bubalis,oct,0
145,bubalus_bubalis,oct,0
146,bubalus_bubalis,oct,0
147,bubalus_bubalis,oct,0
148,bubalus_bubalis,oct,0
149,bubalus_bubalis,oct,15
150,bubalus_bubalis,oct,57
151,bubalus_bubalis,oct,7
152,bubalus_bubalis,oct,0
153,bubalus_bubalis,oct,0
154,bubalus_bubalis,oct,0
