CELL_ID,PATH_ID,PATH_DIST,CELL_TWI,NDVI_SEP,NDVI_OCT,NDVI_NOV,NDVI_DEC
20,1,7.62,4.8536,0.6277,0.5203,0.5356,0.2345
21,1,17.51,5.2003,0.6065,0.4610,0.5343,0.3098
22,1,29.00,5.5397,0.5901,0.4628,0.5287,0.3089
23,1,23.11,5.3563,0.5679,0.4115,0.4933,0.2942
24,1,16.00,5.7228,0.5701,0.4439,0.5170,0.2988
25,1,7.35,6.4149,0.5413,0.4588,0.5105,0.3019
26,1,8.64,4.7478,0.2953,0.2687,0.2686,0.1881
44,1,6.46,4.6111,0.6235,0.5370,0.5206,0.2460
45,1,11.89,4.8338,0.6235,0.5370,0.5206,0.2460
46,1,18.93,4.5907,0.6014,0.5216,0.5176,0.3021
47,1,29.41,4.7000,0.6058,0.5197,0.5393,0.3276
48,1,48.28,5.0133,0.5849,0.4689,0.5284,0.3228
49,1,77.50,5.5080,0.5866,0.4541,0.5404,0.3216
50,1,66.58,5.6993,0.5957,0.4258,0.5316,0.3134
51,1,51.41,5.7173,0.5815,0.4275,0.5239,0.3024
52,1,37.64,5.6166,0.5860,0.4122,0.5051,0.3045
53,1,12.75,4.2467,0.4852,0.3274,0.3804,0.2225
69,1,8.57,4.0691,0.5972,0.5334,0.4602,0.1004
70,1,17.39,5.3215,0.5948,0.4234,0.3024,0.1028
71,1,26.80,4.7894,0.6037,0.5159,0.4640,0.2596
72,1,40.37,4.8743,0.6110,0.5102,0.5086,0.2945
73,1,57.14,5.4603,0.6053,0.5097,0.5054,0.3025
74,1,74.49,5.1866,0.6107,0.4864,0.5328,0.3134
75,1,94.15,5.3291,0.5770,0.4419,0.5134,0.2845
76,1,117.56,5.5968,0.5658,0.4451,0.4991,0.2714
77,1,114.83,5.3398,0.5775,0.4529,0.5197,0.2941
78,1,96.94,5.6837,0.5819,0.4231,0.5205,0.2938
79,1,46.94,5.3902,0.5705,0.3859,0.4970,0.2615
80,1,12.38,4.1087,0.4931,0.3476,0.4583,0.1932
90,0,198.88,5.0194,0.7170,0.3620,0.4048,0.2089
91,0,189.92,4.6382,0.7029,0.4936,0.4718,0.2573
92,1,150.69,4.4739,0.7122,0.5721,0.5508,0.3830
93,1,118.99,4.4838,0.7122,0.5721,0.5508,0.3830
96,1,20.69,4.2707,0.6122,0.5489,0.4846,0.2178
97,1,51.16,4.9056,0.5933,0.5165,0.4555,0.1347
98,1,70.00,4.8437,0.5914,0.5120,0.5037,0.2811
99,1,87.48,4.9742,0.5873,0.5198,0.5159,0.2836
100,1,104.24,5.7523,0.5898,0.4446,0.5081,0.2788
101,1,121.01,5.5266,0.6013,0.4114,0.5246,0.2975
102,1,140.12,5.3585,0.6048,0.4617,0.5277,0.2882
103,1,160.08,4.6699,0.6100,0.4771,0.5112,0.2423
104,1,147.37,4.5889,0.5914,0.4910,0.5068,0.2485
105,1,97.45,5.0924,0.5885,0.4459,0.5098,0.2677
106,1,47.69,5.2324,0.5765,0.3842,0.4902,0.2438
107,1,13.53,4.3993,0.6374,0.4209,0.5272,0.2114
116,0,164.53,3.9567,0.7310,0.3777,0.4470,0.2377
117,0,170.14,5.7771,0.7310,0.3777,0.4470,0.2377
118,0,151.20,5.3321,0.6913,0.3920,0.4471,0.2668
119,0,130.74,5.4338,0.7013,0.4034,0.4181,0.1382
121,1,30.92,5.6210,0.7318,0.4031,0.2942,0.1550
122,1,17.09,4.9897,0.6367,0.5224,0.4307,0.2152
123,1,48.06,4.7999,0.6181,0.5867,0.5298,0.3073
124,1,82.95,5.0806,0.6023,0.5046,0.4868,0.2719
125,1,116.51,4.6242,0.6169,0.4925,0.5229,0.2818
126,1,134.58,4.8421,0.6115,0.4936,0.5046,0.2579
127,1,151.35,4.6396,0.6195,0.4641,0.5056,0.2508
128,1,168.11,4.8794,0.6185,0.4192,0.5133,0.2573
129,1,186.09,4.4002,0.6262,0.4469,0.4915,0.2362
130,1,202.97,4.5694,0.6536,0.4457,0.4787,0.2316
131,1,152.79,4.4039,0.6293,0.4877,0.5082,0.2233
132,1,102.92,4.5720,0.5952,0.4420,0.4725,0.2162
133,1,52.92,4.8272,0.5879,0.3972,0.4784,0.2252
134,1,15.41,4.8174,0.6647,0.3779,0.5184,0.1967
137,2,8.14,5.0937,0.5987,0.3214,0.4377,0.2560
141,0,120.67,6.2014,0.6612,0.2495,0.3257,0.1569
142,0,148.11,6.2931,0.6612,0.2495,0.3257,0.1569
143,0,145.52,5.5719,0.7112,0.3570,0.4355,0.2253
144,0,129.62,5.6378,0.6910,0.3394,0.4286,0.2603
145,0,108.13,5.6315,0.6888,0.3470,0.4194,0.2468
146,0,84.56,6.6721,0.6841,0.3043,0.3451,0.1611
147,0,55.90,5.7638,0.6415,0.3610,0.2792,0.1855
148,0,41.02,5.8231,0.6440,0.4333,0.3431,0.1996
149,0,4.52,4.9981,0.6642,0.5414,0.4610,0.2438
150,1,49.86,4.7365,0.6290,0.5353,0.4753,0.2635
151,1,99.79,4.8685,0.6406,0.4788,0.4971,0.2599
152,1,132.44,5.2567,0.6747,0.5258,0.5656,0.2978
153,1,169.05,5.6873,0.6799,0.5054,0.4906,0.3292
154,1,194.33,5.3342,0.6891,0.4198,0.4150,0.2341
155,1,202.87,5.1796,0.6377,0.4510,0.4883,0.2552
156,1,213.96,4.8051,0.6468,0.4857,0.4885,0.2741
157,1,218.57,5.3613,0.7140,0.4582,0.4712,0.2850
158,1,137.16,4.9768,0.6887,0.4759,0.5638,0.2486
159,1,100.46,4.1530,0.6351,0.4749,0.4842,0.2424
160,1,60.94,4.6370,0.6099,0.4117,0.4546,0.2206
161,1,27.00,4.7419,0.6013,0.3537,0.4676,0.2500
164,2,24.48,4.4021,0.4811,0.2540,0.3961,0.2531
165,2,13.76,4.7710,0.5659,0.3342,0.4204,0.2605
166,0,43.43,4.4054,0.6767,0.4000,0.4167,0.1846
167,0,54.85,7.2062,0.6376,0.4279,0.3653,0.2110
168,0,85.56,6.5837,0.6709,0.3787,0.3582,0.2043
169,0,117.30,6.2911,0.6820,0.2974,0.3777,0.2359
170,0,104.02,5.6080,0.6974,0.3453,0.4461,0.2530
171,0,83.94,5.5248,0.6981,0.3290,0.4037,0.2325
172,0,63.61,5.3640,0.6895,0.2893,0.3212,0.1932
173,0,39.42,5.3762,0.6689,0.2944,0.4030,0.2393
174,0,18.31,4.7762,0.6690,0.5024,0.4797,0.3045
175,0,2.81,5.0699,0.6967,0.6000,0.5490,0.3352
176,0,29.07,6.0372,0.7370,0.6124,0.5584,0.3452
177,0,69.07,7.9115,0.7267,0.6042,0.5773,0.2530
178,1,112.10,6.8351,0.7307,0.5355,0.6029,0.2549
179,1,151.06,6.1168,0.7242,0.5013,0.5269,0.3092
191,2,48.81,4.3560,0.4116,0.2673,0.3320,0.2093
192,0,20.50,4.8740,0.5641,0.4234,0.4251,0.2570
193,0,15.23,4.3368,0.6192,0.4772,0.4220,0.2160
194,0,18.70,4.3705,0.6350,0.5041,0.4800,0.3254
195,0,46.97,5.4598,0.6792,0.3679,0.4418,0.2939
196,0,78.86,5.7064,0.6849,0.3239,0.3866,0.2222
197,0,58.01,5.6076,0.6141,0.3041,0.3510,0.1378
198,0,38.26,5.6716,0.6689,0.3025,0.3778,0.1845
199,0,17.93,5.1786,0.7208,0.3930,0.4675,0.2697
200,0,2.90,5.6036,0.7053,0.4236,0.5554,0.3423
201,0,27.02,5.1581,0.7130,0.5784,0.5801,0.3610
202,0,48.13,5.5130,0.7205,0.5837,0.5260,0.3371
203,0,69.26,6.8013,0.7244,0.5699,0.5173,0.3218
204,0,99.78,9.5761,0.7300,0.6058,0.5784,0.2199
205,0,137.42,7.3382,0.7118,0.4897,0.5123,0.2946
206,1,155.91,5.2889,0.7201,0.4807,0.4244,0.2465
218,0,68.79,4.8005,0.3871,0.3104,0.3088,0.1902
219,0,45.64,5.5379,0.5505,0.4631,0.4308,0.2877
220,0,32.72,6.1634,0.5626,0.5025,0.4637,0.3013
221,0,23.36,4.9142,0.5649,0.5107,0.4717,0.3133
222,0,9.01,4.2398,0.6013,0.3720,0.4814,0.3179
223,0,32.92,4.3043,0.6557,0.3792,0.5115,0.3512
224,0,12.82,4.8395,0.6996,0.4173,0.5625,0.3685
225,0,7.35,5.0879,0.7204,0.4594,0.5831,0.3729
226,0,27.75,5.5435,0.7125,0.4485,0.5673,0.3693
227,0,48.12,5.0683,0.7085,0.4336,0.5328,0.3436
228,0,72.15,5.1180,0.7375,0.6239,0.5693,0.3694
229,0,93.45,5.4149,0.7233,0.6103,0.5576,0.3627
230,0,114.57,6.1638,0.7061,0.5480,0.5050,0.3325
231,0,138.05,5.7879,0.6677,0.4572,0.4249,0.2722
232,0,161.87,5.3550,0.6778,0.4521,0.3704,0.2314
245,0,103.28,4.6440,0.3424,0.2479,0.2143,0.1062
246,0,88.89,5.2581,0.5325,0.4622,0.4244,0.2750
247,0,82.58,5.9171,0.5734,0.4957,0.4515,0.2833
248,0,61.57,6.1455,0.5871,0.4598,0.4812,0.3265
249,0,28.65,5.4912,0.5888,0.4012,0.5205,0.3449
250,0,12.74,4.7489,0.6102,0.4187,0.5273,0.3499
251,0,32.76,4.5197,0.6472,0.4041,0.5445,0.3466
252,0,53.64,4.3430,0.6646,0.4089,0.5607,0.3594
253,0,73.43,4.2321,0.6407,0.3866,0.5334,0.3547
254,0,93.76,4.6445,0.6578,0.4498,0.5152,0.3155
255,0,114.57,4.5185,0.6703,0.5637,0.4772,0.2892
256,0,138.78,5.0068,0.7172,0.5776,0.5181,0.3285
257,0,159.89,5.1063,0.6554,0.4786,0.4404,0.2914
