CELL_ID,MONTH,SPECIES,DOM_BEH
21,oct,bubalus_bubalis,3
21,dec,bubalus_bubalis,1
23,dec,bubalus_bubalis,1
47,nov,bos_taurus,1
48,dec,bubalus_bubalis,1
49,dec,bubalus_bubalis,1
50,dec,bubalus_bubalis,1
51,dec,bubalus_bubalis,1
52,nov,bubalus_bubalis,1
71,nov,bubalus_bubalis,1
72,nov,bubalus_bubalis,1
73,oct,bos_taurus,1
73,oct,bubalus_bubalis,1
73,nov,bubalus_bubalis,1
74,nov,bos_taurus,1
74,oct,bubalus_bubalis,1
74,nov,bubalus_bubalis,1
75,nov,bos_taurus,5
75,oct,bubalus_bubalis,1
75,nov,bubalus_bubalis,1
75,dec,bubalus_bubalis,1
76,nov,bubalus_bubalis,1
76,dec,bubalus_bubalis,1
77,nov,bubalus_bubalis,1
77,dec,bubalus_bubalis,1
78,dec,bos_taurus,3
78,nov,bubalus_bubalis,1
78,dec,bubalus_bubalis,1
79,dec,bos_taurus,1
79,nov,bubalus_bubalis,1
79,dec,bubalus_bubalis,1
97,nov,bubalus_bubalis,1
98,oct,bubalus_bubalis,1
98,nov,bubalus_bubalis,5
99,oct,bubalus_bubalis,1
99,nov,bubalus_bubalis,5
100,oct,bos_taurus,1
100,oct,bubalus_bubalis,1
100,nov,bubalus_bubalis,1
100,dec,bubalus_bubalis,1
101,nov,bos_taurus,5
101,oct,bubalus_bubalis,1
101,nov,bubalus_bubalis,1
101,dec,bubalus_bubalis,1
102,nov,bos_taurus,5
102,oct,bubalus_bubalis,1
102,nov,bubalus_bubalis,5
102,dec,bubalus_bubalis,1
103,nov,bubalus_bubalis,1
103,dec,bubalus_bubalis,1
104,dec,bos_taurus,1
104,nov,bubalus_bubalis,1
104,dec,bubalus_bubalis,1
105,dec,bos_taurus,1
105,dec,bubalus_bubalis,4
106,dec,bos_taurus,3
106,dec,bubalus_bubalis,3
123,dec,bos_taurus,1
123,oct,bubalus_bubalis,3
124,oct,bos_taurus,1
124,dec,bos_taurus,1
124,oct,bubalus_bubalis,1
124,nov,bubalus_bubalis,1
125,oct,bos_taurus,1
125,oct,bubalus_bubalis,1
125,nov,bubalus_bubalis,1
126,oct,bos_taurus,1
126,oct,bubalus_bubalis,1
126,nov,bubalus_bubalis,1
