SPECIES,MONTH,DATE,HOUR,MINUTE,BEHAVIOUR,NUM_INDIV,HUMAN
bos_taurus,sep,9/12/2020,9,59,4,20,0
bos_taurus,sep,9/12/2020,9,55,1,20,0
bos_taurus,sep,9/12/2020,9,51,1,16,0
bos_taurus,sep,9/12/2020,9,41,1,14,0
bos_taurus,sep,9/12/2020,9,46,1,13,0
bos_taurus,sep,9/12/2020,9,37,1,11,0
bos_taurus,sep,9/12/2020,9,33,1,11,0
bos_taurus,sep,9/12/2020,9,28,1,10,0
bos_taurus,sep,9/12/2020,10,19,4,8,0
bos_taurus,sep,9/12/2020,10,15,1,8,0
bos_taurus,sep,9/12/2020,9,6,1,7,0
bos_taurus,sep,9/12/2020,9,21,1,7,0
bos_taurus,sep,9/12/2020,9,15,1,7,0
bos_taurus,sep,9/12/2020,10,4,1,6,0
bos_taurus,sep,9/12/2020,10,7,1,6,0
bos_taurus,sep,9/12/2020,10,11,1,6,0
bos_taurus,sep,9/12/2020,10,24,3,6,0
bos_taurus,sep,9/12/2020,10,29,3,5,0
bubalus_bubalis,sep,9/12/2020,10,35,3,4,0
bubalus_bubalis,sep,9/12/2020,10,42,5,4,0
bubalus_bubalis,sep,9/12/2020,10,44,5,4,0
bubalus_bubalis,sep,9/12/2020,10,50,5,4,0
bubalus_bubalis,sep,9/12/2020,10,56,5,4,0
bubalus_bubalis,sep,9/12/2020,11,1,5,4,0
bubalus_bubalis,sep,9/12/2020,11,6,5,4,0
bubalus_bubalis,sep,9/12/2020,11,10,5,4,0
bubalus_bubalis,sep,9/12/2020,11,15,5,4,0
bubalus_bubalis,sep,9/12/2020,11,19,5,4,0
bubalus_bubalis,sep,9/12/2020,11,24,5,4,0
bubalus_bubalis,sep,9/12/2020,11,28,5,4,0
bubalus_bubalis,sep,9/12/2020,11,33,5,4,0
bubalus_bubalis,sep,9/12/2020,11,37,5,4,0
bubalus_bubalis,sep,9/12/2020,11,42,5,4,0
bubalus_bubalis,sep,9/12/2020,11,47,5,4,0
bubalus_bubalis,sep,9/12/2020,11,52,5,4,0
bubalus_bubalis,sep,9/12/2020,11,59,5,4,0
bos_taurus,sep,9/13/2020,13,12,1,45,1
bos_taurus,sep,9/13/2020,13,27,1,45,1
bos_taurus,sep,9/13/2020,13,29,1,45,1
bos_taurus,sep,9/13/2020,13,17,1,45,1
bos_taurus,sep,9/13/2020,13,25,1,45,1
bos_taurus,sep,9/13/2020,13,15,1,45,1
bos_taurus,sep,9/13/2020,13,23,1,45,1
bos_taurus,sep,9/13/2020,13,20,1,45,1
bos_taurus,sep,9/13/2020,12,48,1,30,1
bos_taurus,sep,9/13/2020,12,33,1,20,1
bos_taurus,sep,9/13/2020,12,41,4,20,1
bos_taurus,sep,9/13/2020,12,25,3,20,1
bos_taurus,sep,9/13/2020,12,30,3,20,1
bos_taurus,sep,9/13/2020,12,37,1,20,1
bos_taurus,sep,9/13/2020,16,12,1,20,0
bos_taurus,sep,9/13/2020,16,24,1,20,0
bos_taurus,sep,9/13/2020,16,29,1,20,0
bos_taurus,sep,9/13/2020,16,20,1,20,0
bos_taurus,sep,9/13/2020,16,22,1,20,0
bos_taurus,sep,9/13/2020,16,26,1,20,0
bos_taurus,sep,9/13/2020,15,15,5,20,0
bos_taurus,sep,9/13/2020,15,51,5,20,0
bos_taurus,sep,9/13/2020,15,4,5,20,0
bos_taurus,sep,9/13/2020,15,10,3,20,0
bos_taurus,sep,9/13/2020,15,17,5,20,0
bos_taurus,sep,9/13/2020,15,20,5,20,0
bos_taurus,sep,9/13/2020,15,27,5,20,0
bos_taurus,sep,9/13/2020,15,30,5,20,0
bos_taurus,sep,9/13/2020,15,32,5,20,0
bos_taurus,sep,9/13/2020,15,54,5,20,0
bos_taurus,sep,9/13/2020,15,56,5,20,0
bos_taurus,sep,9/13/2020,15,59,5,20,0
bos_taurus,sep,9/13/2020,16,4,5,20,0
bos_taurus,sep,9/13/2020,16,9,5,20,0
bos_taurus,sep,9/13/2020,16,17,1,20,0
bos_taurus,sep,9/13/2020,15,22,5,20,0
bos_taurus,sep,9/13/2020,15,25,5,20,0
bos_taurus,sep,9/13/2020,12,20,3,18,1
bos_taurus,sep,9/13/2020,12,6,3,18,1
bos_taurus,sep,9/13/2020,12,14,4,18,1
bos_taurus,sep,9/13/2020,15,38,5,17,0
bos_taurus,sep,9/13/2020,15,41,5,17,0
bos_taurus,sep,9/13/2020,15,43,5,17,0
bos_taurus,sep,9/13/2020,15,46,5,17,0
bos_taurus,sep,9/13/2020,15,48,5,17,0
bos_taurus,sep,9/13/2020,15,35,5,17,0
bos_taurus,sep,9/13/2020,13,2,3,7,1
bos_taurus,sep,9/13/2020,13,5,11,7,1
bos_taurus,sep,9/13/2020,12,56,3,7,1
bos_taurus,sep,9/13/2020,12,59,11,7,1
bos_taurus,sep,9/13/2020,12,52,4,6,1
bubalus_bubalis,sep,9/13/2020,13,33,5,4,0
bubalus_bubalis,sep,9/13/2020,13,37,5,4,0
bubalus_bubalis,sep,9/13/2020,13,40,5,4,0
bubalus_bubalis,sep,9/13/2020,13,43,5,4,0
bubalus_bubalis,sep,9/13/2020,13,47,5,4,0
bubalus_bubalis,sep,9/13/2020,13,50,5,4,0
bubalus_bubalis,sep,9/13/2020,13,52,5,4,0
bubalus_bubalis,sep,9/13/2020,13,54,5,4,0
bubalus_bubalis,sep,9/13/2020,13,57,5,4,0
bubalus_bubalis,sep,9/13/2020,13,59,5,4,0
bubalus_bubalis,sep,9/13/2020,14,2,5,4,0
bubalus_bubalis,sep,9/13/2020,14,5,5,4,0
bubalus_bubalis,sep,9/13/2020,14,8,5,4,0
bubalus_bubalis,sep,9/13/2020,14,11,5,4,0
bubalus_bubalis,sep,9/13/2020,14,13,5,4,0
bubalus_bubalis,sep,9/13/2020,14,16,5,4,0
bubalus_bubalis,sep,9/13/2020,14,19,5,4,0
bubalus_bubalis,sep,9/13/2020,14,22,5,4,0
bubalus_bubalis,sep,9/13/2020,14,25,5,4,0
bubalus_bubalis,sep,9/13/2020,14,28,4,4,0
bubalus_bubalis,sep,9/13/2020,14,31,3,4,0
bubalus_bubalis,sep,9/13/2020,14,34,3,4,0
bubalus_bubalis,sep,9/13/2020,14,37,3,4,0
bubalus_bubalis,sep,9/13/2020,14,41,3,4,0
bubalus_bubalis,sep,9/13/2020,14,44,3,4,0
bubalus_bubalis,sep,9/13/2020,14,50,3,4,0
bubalus_bubalis,sep,9/13/2020,14,53,5,4,0
bubalus_bubalis,sep,9/13/2020,14,59,5,4,0
bos_taurus,sep,9/14/2020,14,29,3,40,0
bos_taurus,sep,9/14/2020,14,32,3,40,0
bos_taurus,sep,9/14/2020,14,35,3,40,0
bos_taurus,sep,9/14/2020,14,38,3,40,0
bos_taurus,sep,9/14/2020,14,43,3,40,0
bos_taurus,sep,9/14/2020,14,51,3,40,0
bos_taurus,sep,9/14/2020,14,59,3,40,0
bos_taurus,sep,9/14/2020,14,11,1,15,0
bos_taurus,sep,9/14/2020,14,4,1,15,0
bos_taurus,sep,9/14/2020,14,7,1,15,0
bos_taurus,sep,9/14/2020,13,58,1,15,0
bos_taurus,sep,9/14/2020,14,1,1,15,0
bos_taurus,sep,9/14/2020,14,12,1,15,0
bos_taurus,sep,9/14/2020,13,36,1,14,0
bos_taurus,sep,9/14/2020,13,38,1,14,0
bos_taurus,sep,9/14/2020,13,40,1,14,0
bos_taurus,sep,9/14/2020,13,42,1,14,0
bos_taurus,sep,9/14/2020,13,44,1,14,0
bos_taurus,sep,9/14/2020,13,46,1,14,0
bos_taurus,sep,9/14/2020,13,48,1,14,0
bos_taurus,sep,9/14/2020,13,50,1,14,0
bos_taurus,sep,9/14/2020,13,52,1,14,0
bos_taurus,sep,9/14/2020,13,56,1,14,0
bos_taurus,sep,9/14/2020,13,32,1,14,0
bos_taurus,sep,9/14/2020,14,15,1,12,0
bos_taurus,sep,9/14/2020,14,18,1,12,0
bos_taurus,sep,9/14/2020,14,20,1,12,0
bos_taurus,sep,9/14/2020,14,23,1,10,0
bos_taurus,sep,9/14/2020,14,25,1,5,0
bubalus_bubalis,sep,9/14/2020,12,12,10,4,0
bubalus_bubalis,sep,9/14/2020,12,20,10,4,0
bubalus_bubalis,sep,9/14/2020,12,30,10,4,0
bubalus_bubalis,sep,9/14/2020,12,33,10,4,0
bubalus_bubalis,sep,9/14/2020,12,36,10,4,0
bubalus_bubalis,sep,9/14/2020,12,40,10,4,0
bubalus_bubalis,sep,9/14/2020,12,43,10,4,0
bubalus_bubalis,sep,9/14/2020,12,47,10,4,0
bubalus_bubalis,sep,9/14/2020,12,50,10,4,0
bubalus_bubalis,sep,9/14/2020,12,54,10,4,0
bubalus_bubalis,sep,9/14/2020,12,58,10,4,0
bubalus_bubalis,sep,9/14/2020,13,2,10,4,0
bubalus_bubalis,sep,9/14/2020,13,6,10,4,0
bubalus_bubalis,sep,9/14/2020,13,10,10,4,0
bubalus_bubalis,sep,9/14/2020,13,19,10,4,0
bubalus_bubalis,sep,9/14/2020,13,23,10,4,0
bubalus_bubalis,sep,9/14/2020,13,29,10,4,0
bubalus_bubalis,sep,9/14/2020,12,5,10,4,0
bubalus_bubalis,sep,9/14/2020,12,26,10,4,0
bubalus_bubalis,sep,9/14/2020,13,16,10,4,0
bubalus_bubalis,sep,9/14/2020,15,0,10,4,0
bubalus_bubalis,sep,9/14/2020,15,42,1,4,0
bubalus_bubalis,sep,9/14/2020,15,2,4,4,0
bubalus_bubalis,sep,9/14/2020,15,5,1,4,0
bubalus_bubalis,sep,9/14/2020,15,13,1,4,0
bubalus_bubalis,sep,9/14/2020,15,17,1,4,0
bubalus_bubalis,sep,9/14/2020,16,1,1,4,0
bubalus_bubalis,sep,9/14/2020,15,38,1,4,0
bubalus_bubalis,sep,9/14/2020,15,48,1,4,0
bubalus_bubalis,sep,9/14/2020,15,51,1,4,0
bubalus_bubalis,sep,9/14/2020,15,53,1,4,0
bubalus_bubalis,sep,9/14/2020,15,55,1,4,0
bubalus_bubalis,sep,9/14/2020,15,58,3,4,0
bubalus_bubalis,sep,9/14/2020,15,59,1,4,0
bubalus_bubalis,sep,9/14/2020,16,3,4,4,0
bubalus_bubalis,sep,9/14/2020,15,40,1,4,0
bubalus_bubalis,sep,9/14/2020,16,6,4,4,0
bubalus_bubalis,sep,9/14/2020,15,37,1,4,0
bubalus_bubalis,sep,9/14/2020,16,13,3,4,0
bubalus_bubalis,sep,9/14/2020,16,22,5,4,0
bubalus_bubalis,sep,9/14/2020,16,24,5,4,0
bubalus_bubalis,sep,9/14/2020,16,26,5,4,0
bubalus_bubalis,sep,9/14/2020,16,29,5,4,0
bubalus_bubalis,sep,9/14/2020,16,14,3,4,0
bubalus_bubalis,sep,9/14/2020,16,17,3,4,0
bubalus_bubalis,sep,9/14/2020,16,18,3,4,0
bubalus_bubalis,sep,9/14/2020,15,19,1,4,0
bubalus_bubalis,sep,9/14/2020,15,25,3,4,0
bubalus_bubalis,sep,9/14/2020,15,34,1,4,0
bubalus_bubalis,sep,9/14/2020,15,22,4,4,0
bubalus_bubalis,sep,9/14/2020,15,31,1,4,0
bos_taurus,sep,9/15/2020,12,1,3,30,0
bos_taurus,sep,9/15/2020,12,7,3,30,0
bos_taurus,sep,9/15/2020,12,9,3,30,0
bos_taurus,sep,9/15/2020,12,11,3,30,0
bos_taurus,sep,9/15/2020,12,13,3,30,0
bos_taurus,sep,9/15/2020,12,15,3,30,0
bos_taurus,sep,9/15/2020,12,17,3,30,0
bos_taurus,sep,9/15/2020,12,20,3,30,0
bos_taurus,sep,9/15/2020,12,24,5,30,0
bos_taurus,sep,9/15/2020,12,27,5,30,0
bos_taurus,sep,9/15/2020,12,29,5,30,0
bos_taurus,sep,9/15/2020,12,32,5,30,0
bos_taurus,sep,9/15/2020,12,34,5,30,0
bos_taurus,sep,9/15/2020,12,37,5,30,0
bos_taurus,sep,9/15/2020,12,40,5,30,0
bos_taurus,sep,9/15/2020,12,42,5,30,0
bos_taurus,sep,9/15/2020,12,46,5,30,0
bos_taurus,sep,9/15/2020,12,48,5,30,0
bos_taurus,sep,9/15/2020,12,51,5,30,0
bos_taurus,sep,9/15/2020,12,55,5,30,0
bos_taurus,sep,9/15/2020,12,58,5,30,0
bos_taurus,sep,9/15/2020,12,59,5,30,0
bos_taurus,sep,9/15/2020,12,4,3,30,0
bos_taurus,sep,9/15/2020,12,22,3,30,0
bos_taurus,sep,9/15/2020,15,2,1,30,0
bos_taurus,sep,9/15/2020,16,2,1,30,0
bos_taurus,sep,9/15/2020,15,9,10,30,0
bos_taurus,sep,9/15/2020,15,13,10,30,0
bos_taurus,sep,9/15/2020,15,16,10,30,0
bos_taurus,sep,9/15/2020,15,20,5,30,0
bos_taurus,sep,9/15/2020,15,35,3,30,0
bos_taurus,sep,9/15/2020,15,40,10,30,0
bos_taurus,sep,9/15/2020,15,48,3,30,0
bos_taurus,sep,9/15/2020,15,50,3,30,0
bos_taurus,sep,9/15/2020,15,55,1,30,0
bos_taurus,sep,9/15/2020,15,59,1,30,0
bos_taurus,sep,9/15/2020,16,4,10,30,0
bos_taurus,sep,9/15/2020,16,6,10,30,0
bos_taurus,sep,9/15/2020,16,9,10,30,0
bos_taurus,sep,9/15/2020,16,14,10,30,0
bos_taurus,sep,9/15/2020,15,5,10,30,0
bos_taurus,sep,9/15/2020,15,23,3,30,0
bos_taurus,sep,9/15/2020,15,25,10,30,0
bos_taurus,sep,9/15/2020,15,29,3,30,0
bos_taurus,sep,9/15/2020,15,32,10,30,0
bos_taurus,sep,9/15/2020,15,37,10,30,0
bos_taurus,sep,9/15/2020,15,43,10,30,0
bos_taurus,sep,9/15/2020,15,45,10,30,0
bos_taurus,sep,9/15/2020,15,53,3,30,0
bos_taurus,sep,9/15/2020,16,12,10,30,0
bos_taurus,sep,9/15/2020,13,3,3,25,0
bos_taurus,sep,9/15/2020,13,5,3,25,0
bos_taurus,sep,9/15/2020,13,7,3,25,0
bos_taurus,sep,9/15/2020,16,29,10,25,0
bos_taurus,sep,9/15/2020,16,17,10,25,0
bos_taurus,sep,9/15/2020,16,20,10,25,0
bos_taurus,sep,9/15/2020,16,24,10,25,0
bos_taurus,sep,9/15/2020,16,26,10,25,0
bos_taurus,sep,9/15/2020,13,13,3,20,0
bos_taurus,sep,9/15/2020,13,9,3,20,0
bos_taurus,sep,9/15/2020,13,16,4,20,0
bos_taurus,sep,9/15/2020,13,24,3,10,0
bos_taurus,sep,9/15/2020,13,29,3,10,0
bos_taurus,sep,9/15/2020,13,18,3,10,0
bubalus_bubalis,sep,9/15/2020,13,31,1,4,0
bubalus_bubalis,sep,9/15/2020,13,33,1,4,0
bubalus_bubalis,sep,9/15/2020,13,35,1,4,0
bubalus_bubalis,sep,9/15/2020,14,16,5,4,0
bubalus_bubalis,sep,9/15/2020,14,18,5,4,0
bubalus_bubalis,sep,9/15/2020,13,41,1,4,0
bubalus_bubalis,sep,9/15/2020,13,58,5,4,0
bubalus_bubalis,sep,9/15/2020,14,24,5,4,0
bubalus_bubalis,sep,9/15/2020,14,32,5,4,0
bubalus_bubalis,sep,9/15/2020,14,39,5,4,0
bubalus_bubalis,sep,9/15/2020,14,51,5,4,0
bubalus_bubalis,sep,9/15/2020,14,44,5,4,0
bubalus_bubalis,sep,9/15/2020,14,55,5,4,0
bubalus_bubalis,sep,9/15/2020,13,44,1,4,0
bubalus_bubalis,sep,9/15/2020,13,47,5,4,0
bubalus_bubalis,sep,9/15/2020,13,49,5,4,0
bubalus_bubalis,sep,9/15/2020,13,52,3,4,0
bubalus_bubalis,sep,9/15/2020,13,55,5,4,0
bubalus_bubalis,sep,9/15/2020,14,4,5,4,0
bubalus_bubalis,sep,9/15/2020,14,9,5,4,0
bubalus_bubalis,sep,9/15/2020,14,14,5,4,0
bubalus_bubalis,sep,9/15/2020,14,20,5,4,0
bubalus_bubalis,sep,9/15/2020,14,22,5,4,0
bubalus_bubalis,sep,9/15/2020,14,27,5,4,0
bubalus_bubalis,sep,9/15/2020,14,36,5,4,0
bubalus_bubalis,sep,9/15/2020,14,42,5,4,0
bubalus_bubalis,sep,9/15/2020,14,47,5,4,0
bubalus_bubalis,sep,9/15/2020,14,59,5,4,0
bubalus_bubalis,sep,9/15/2020,13,38,1,4,0
bubalus_bubalis,sep,9/15/2020,14,11,5,4,0
bos_taurus,sep,9/18/2020,8,12,1,45,0
bos_taurus,sep,9/18/2020,7,30,1,45,0
bos_taurus,sep,9/18/2020,7,40,1,45,0
bos_taurus,sep,9/18/2020,7,48,1,45,0
bos_taurus,sep,9/18/2020,7,44,1,45,0
bos_taurus,sep,9/18/2020,7,31,1,45,0
bos_taurus,sep,9/18/2020,7,34,1,45,0
bos_taurus,sep,9/18/2020,7,51,1,45,0
bos_taurus,sep,9/18/2020,8,17,1,45,0
bos_taurus,sep,9/18/2020,7,37,1,45,0
bos_taurus,sep,9/18/2020,8,19,1,45,0
bos_taurus,sep,9/18/2020,10,32,5,30,0
bos_taurus,sep,9/18/2020,10,36,5,30,0
bos_taurus,sep,9/18/2020,10,39,5,30,0
bos_taurus,sep,9/18/2020,10,42,5,30,0
bos_taurus,sep,9/18/2020,10,44,5,30,0
bos_taurus,sep,9/18/2020,10,46,5,30,0
bos_taurus,sep,9/18/2020,10,50,5,30,0
bos_taurus,sep,9/18/2020,10,52,5,30,0
bos_taurus,sep,9/18/2020,10,54,5,30,0
bos_taurus,sep,9/18/2020,10,58,5,30,0
bos_taurus,sep,9/18/2020,11,0,5,30,0
bos_taurus,sep,9/18/2020,11,2,5,30,0
bos_taurus,sep,9/18/2020,11,4,5,30,0
bos_taurus,sep,9/18/2020,11,6,5,30,0
bos_taurus,sep,9/18/2020,11,8,5,30,0
bos_taurus,sep,9/18/2020,11,10,5,30,0
bos_taurus,sep,9/18/2020,11,12,5,30,0
bos_taurus,sep,9/18/2020,11,17,5,30,0
bos_taurus,sep,9/18/2020,11,19,5,30,0
bos_taurus,sep,9/18/2020,11,21,5,30,0
bos_taurus,sep,9/18/2020,11,23,5,30,0
bos_taurus,sep,9/18/2020,11,24,5,30,0
bos_taurus,sep,9/18/2020,11,26,5,30,0
bos_taurus,sep,9/18/2020,11,28,5,30,0
bos_taurus,sep,9/18/2020,11,30,5,30,0
bos_taurus,sep,9/18/2020,11,33,5,30,0
bos_taurus,sep,9/18/2020,11,35,5,30,0
bos_taurus,sep,9/18/2020,11,38,5,30,0
bos_taurus,sep,9/18/2020,11,40,5,30,0
bos_taurus,sep,9/18/2020,11,42,5,30,0
bos_taurus,sep,9/18/2020,11,44,5,30,0
